,brewery_id,breweries,address1,address2,city,STATE,code,country,phone,website,filepath,descript,last_mod,coordinates,id,abv,name,state
0,21,AleSmith Brewing,9368 Cabot Drive,,San Diego,California,92126,United States,1-858-549-9888,http://alesmith.com/,,,2010-07-22T16:00:20-04:00,"32.892, -117.144",384,10.0,Grand Cru 2006,CA
1,21,AleSmith Brewing,9368 Cabot Drive,,San Diego,California,92126,United States,1-858-549-9888,http://alesmith.com/,,,2010-07-22T16:00:20-04:00,"32.892, -117.144",811,9.5,Wee Heavy,CA
2,21,AleSmith Brewing,9368 Cabot Drive,,San Diego,California,92126,United States,1-858-549-9888,http://alesmith.com/,,,2010-07-22T16:00:20-04:00,"32.892, -117.144",901,5.0,X Extra Pale Ale,CA
3,21,AleSmith Brewing,9368 Cabot Drive,,San Diego,California,92126,United States,1-858-549-9888,http://alesmith.com/,,,2010-07-22T16:00:20-04:00,"32.892, -117.144",923,12.0,Speedway Stout,CA
6,122,Big Sky Brewing,5417 Trumpeter Way,,Missoula,Montana,59808,United States,1-800-559-2774,,,,2010-07-22T16:00:20-04:00,"46.9223, -114.073",172,0.0,Crystal Ale,MT
7,133,BJ's Restaurant and Brewery,600 Brea Mall,,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx,,,2010-07-22T16:00:20-04:00,"33.9132, -117.889",313,8.5,Tatonka Stout,CA
8,133,BJ's Restaurant and Brewery,600 Brea Mall,,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx,,,2010-07-22T16:00:20-04:00,"33.9132, -117.889",314,6.4,P.M. Porter,CA
9,133,BJ's Restaurant and Brewery,600 Brea Mall,,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx,,,2010-07-22T16:00:20-04:00,"33.9132, -117.889",315,7.3,Jeremiah Red,CA
10,133,BJ's Restaurant and Brewery,600 Brea Mall,,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx,,,2010-07-22T16:00:20-04:00,"33.9132, -117.889",316,5.7,Piranha Pale Ale,CA
11,133,BJ's Restaurant and Brewery,600 Brea Mall,,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx,,,2010-07-22T16:00:20-04:00,"33.9132, -117.889",317,4.9,Harvest Hefeweizen,CA
12,133,BJ's Restaurant and Brewery,600 Brea Mall,,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx,,,2010-07-22T16:00:20-04:00,"33.9132, -117.889",318,4.7,Brewhouse Blonde,CA
13,133,BJ's Restaurant and Brewery,600 Brea Mall,,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx,,,2010-07-22T16:00:20-04:00,"33.9132, -117.889",319,5.9,Nutty Brewnette,CA
27,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",720,0.0,Icebreaker Barley Wine,WA
28,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",721,7.4,Industrial IPA,WA
29,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",722,6.2,IPA,WA
30,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",723,5.6,Possession Porter,WA
31,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",724,4.8,Steamer Glide Stout,WA
32,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",725,0.0,E.S.B.,WA
33,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",726,5.6,Brown Ale,WA
34,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",727,5.2,Golden Ale,WA
35,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",728,5.8,Hefe-Weizen,WA
36,445,Diamond Knot Brewery & Alehouse,621 Front Street,,Mukilteo,Washington,98275,United States,1-425-355-4488,http://www.diamondknot.com/,,,2010-07-22T16:00:20-04:00,"47.9485, -122.305",729,4.3,Lighthouse Ale,WA
37,459,Dogfish Head Craft Brewery,6 Cannery Village Center,,Milton,Delaware,19968,United States,1-888-834-3474,http://www.dogfish.com,,,2010-07-22T16:00:20-04:00,"38.7683, -75.3107",818,15.04,Olde School Barleywine,DE
38,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",748,0.0,Barleywine,WA
39,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",749,0.0,Imperial Pale,WA
40,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",750,0.0,Spring Bock,WA
41,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",751,0.0,Irish Stout,WA
42,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",752,6.6,India Pale Ale,WA
43,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",753,5.9,Porter,WA
44,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",754,0.0,Firehouse Red,WA
45,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",755,5.1,Tacoma Brew,WA
46,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",756,4.3,Hefeweizen,WA
47,504,Engine House #9,611 North Pine,,Tacoma,Washington,98406,United States,1-253-272-3435,,,,2010-07-22T16:00:20-04:00,"47.256, -122.473",757,4.1,Belgian White,WA
48,523,Firehouse Grill & Brewery,111 South Murphy Avenue,,Sunnyvale,California,94086,United States,1-408-773-9500,,,,2010-07-22T16:00:20-04:00,"37.3775, -122.03",308,0.0,Pale Ale,CA
49,523,Firehouse Grill & Brewery,111 South Murphy Avenue,,Sunnyvale,California,94086,United States,1-408-773-9500,,,,2010-07-22T16:00:20-04:00,"37.3775, -122.03",309,0.0,Red Ale,CA
50,523,Firehouse Grill & Brewery,111 South Murphy Avenue,,Sunnyvale,California,94086,United States,1-408-773-9500,,,,2010-07-22T16:00:20-04:00,"37.3775, -122.03",310,0.0,Hefeweizen,CA
51,523,Firehouse Grill & Brewery,111 South Murphy Avenue,,Sunnyvale,California,94086,United States,1-408-773-9500,,,,2010-07-22T16:00:20-04:00,"37.3775, -122.03",311,0.0,Bitter,CA
52,523,Firehouse Grill & Brewery,111 South Murphy Avenue,,Sunnyvale,California,94086,United States,1-408-773-9500,,,,2010-07-22T16:00:20-04:00,"37.3775, -122.03",312,0.0,Double IPA,CA
56,677,HopTown Brewing,3015-D Hopyard Road,,Pleasanton,California,94588,United States,1-925-426-1450,,,,2010-07-22T16:00:20-04:00,"37.677, -121.898",296,0.0,Paint the Town Red,CA
